"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"structural-missingness","pcm_rare_top+noMiss","weak_guard_any_threshold",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.038490017945975,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","rate at least one threshold anywhere in the 10-item test triggers the weak-category guard (among fitted, converged replicates)"
"structural-missingness","pcm_moderate_top+30MCAR","fit_refusal",150,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_moderate_top+30MCAR","fit_nonconvergence",150,150,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_moderate_top+30MCAR","threshold_k1",1500,NA,NA,NA,NA,-0.0144124164304116,0.215644985423536,0.198378087474072,1.0870403489081,0.942666666666667,0.0060025673519599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
"structural-missingness","pcm_moderate_top+30MCAR","weak_guard_k1",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_moderate_top+30MCAR","threshold_k2",1500,NA,NA,NA,NA,0.000820691416947487,0.164859502663445,0.160814996948044,1.02515005311792,0.941333333333333,0.00606766780506255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
"structural-missingness","pcm_moderate_top+30MCAR","weak_guard_k2",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_moderate_top+30MCAR","threshold_k3",1500,NA,NA,NA,NA,0.013591725013464,0.207600172482787,0.197269556555839,1.0523680192084,0.942,0.00603522990448583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; k=3 is the deliberately rare top-category threshold"
"structural-missingness","pcm_moderate_top+30MCAR","weak_guard_k3",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_moderate_top+30MCAR","weak_guard_any_threshold",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","rate at least one threshold anywhere in the 10-item test triggers the weak-category guard (among fitted, converged replicates)"
